goal_id,member_id,quarter,title,type,total_stages
G01,M01,2026-Q2,리브리 아일랜드 핵심 성장지표(MAU/DAU) 확대,정량,8
G02,M01,2026-Q2,리텐션 개선을 통한 락인 강화,정량,6
G03,M02,2026-Q2,매출 성장 및 ARPU 개선,정량,6
G04,M02,2026-Q2,LTV 기반 유저 가치 극대화,정량,6
G05,M03,2026-Q2,신규 유저 온보딩 개선 실험,정량,5
G06,M04,2026-Q2,바이럴 초대 기능 강화,정량,5
G07,M05,2026-Q2,결제 퍼널 최적화,정량,5
G08,M06,2026-Q2,이탈 방지 캠페인,정량,5
G09,M07,2026-Q2,AI 콘텐츠 QA 자동화 파이프라인 구축,정성,8
G10,M07,2026-Q2,할루시네이션 감지 모델 PoC,정성,6
G11,M08,2026-Q2,R&D 프로세스 표준화 및 실험 문화 정착,정성,5
G12,M09,2026-Q2,아바타 렌더링 품질 자동 검수 도구 개발,정성,6
G13,M10,2026-Q2,LLM 응답 안전성 가이드라인 수립,정성,5
G14,M11,2026-Q2,QA 테스트케이스 커버리지 확대,정성,5
G15,M12,2026-Q2,3개월 채용 파이프라인 정비,정성,6
G16,M12,2026-Q2,조직 온보딩 프로세스 개선,정성,5
G17,M13,2026-Q2,전사 운영 효율화 프로젝트,정성,6
G18,M14,2026-Q2,복리후생 제도 개선안 수립,정성,5
G19,M15,2026-Q2,사내 커뮤니케이션 툴 정비,정성,4
